Root,Concept,Total_Freq,Lift_Herbal,Lift_Astrological,Lift_Balneological,Lift_Pharmacological,Lift_Recipes
aii,Vital Principle (Jupiter),2995,1.20,0.53,0.51,0.96,1.11
che,Substance (Generic),2750,0.70,0.91,1.08,0.99,1.26
y,Subtle Property/Emanation,2090,1.40,1.49,0.93,0.67,0.66
ke,Component/Part of,2047,0.37,0.43,1.71,0.48,1.37
al,Igneous/Luminous Quality,1821,0.84,1.91,1.12,0.70,1.09
she,Substance (Prepared),1792,0.59,0.39,1.77,0.89,1.04
ol,Potency/Danger (Mars),1651,0.86,0.37,1.97,1.40,0.56
cho,Substance (Specific),1639,1.93,0.91,0.09,1.55,0.48
ar,Quality/Property/Aspect,1460,0.99,1.87,0.83,0.65,1.12
ot,Heat/Energy/Active Principle,1446,0.74,1.82,1.17,0.62,1.18
or,Cycle/Cosmos,919,1.29,0.29,0.91,1.64,0.68
kch,Structuring Principle (Saturn),900,1.49,0.98,0.42,0.81,0.87
ckh,Internal Structure,743,1.02,0.24,1.14,2.05,0.75
kai,Vital Principle (Specific),689,0.28,0.26,1.85,0.07,1.47
eo,Celestial Quality,676,0.69,3.06,0.20,3.34,1.20
cth,Body/Primordial Matter,667,1.75,0.13,0.56,1.92,0.37
tai,Balance/Order,532,0.68,0.41,0.85,0.14,1.60
da,Vital Principle (Essence of),513,1.35,0.94,0.66,0.89,0.86
lche,Type of Astral Influence,438,0.26,0.30,1.99,0.49,1.32
pche,Product/Result,344,0.56,0.64,0.93,0.67,1.57
yk,Complex Root/Rhizome,342,1.49,3.34,0.61,1.12,0.55
pch,Process/Action,286,1.24,0.46,0.35,0.80,1.20
tch,Material Form,274,1.86,0.64,0.44,0.50,0.57
ro,Essence/Distillate (Mercury),259,0.63,0.68,1.33,1.12,1.19
teo,Harmonic Principle (Venus),221,0.78,5.97,0.23,2.76,1.01
lshe,Class of Emanation,172,0.24,0.77,2.64,0.44,0.95
ara,Compound/Mixture,134,0.65,2.30,0.45,1.25,1.54
ka,Action/Manifestation,107,1.10,0.00,0.89,0.29,1.16
eke,Structure/Node,74,1.32,2.97,0.74,1.65,0.57
ra,Ingredient,56,0.35,0.00,0.53,0.00,2.17
lk,Salt/Fixed Principle,34,0.16,0.00,0.88,0.00,2.16
ek,Group/Set,27,1.14,1.63,0.55,2.26,0.84
et,Root/Origin,26,1.07,1.69,0.77,1.76,0.87
