ViolationRoot,TotalFreq,Lift_Herbal,Lift_Astrological,Lift_Balneological,Lift_Pharmacological,Lift_Recipes
qoky,119,0.72,0.00,2.08,0.80,0.68
chdy,105,1.04,2.18,0.90,0.45,1.05
qoty,71,0.93,0.64,1.84,0.00,0.74
chody,70,1.51,0.00,0.06,2.27,0.91
shody,39,1.39,0.00,0.12,2.85,0.90
qoteey,37,0.62,0.00,0.85,0.43,1.65
shdy,35,1.31,0.00,0.77,0.45,1.00
ches,30,0.48,1.52,1.65,1.06,1.07
chees,28,1.02,1.63,0.80,2.27,0.83
choky,27,2.12,1.69,0.00,1.76,0.32
qotey,21,0.41,0.00,1.50,0.00,1.52
chos,20,1.00,0.00,0.00,3.17,1.31
otchdy,18,0.95,0.00,1.00,0.00,1.29
okchdy,16,0.89,2.86,1.41,0.99,0.73
chky,14,1.63,0.00,0.32,0.00,1.04
qody,14,1.23,0.00,0.97,0.00,1.04
shky,11,1.56,0.00,0.82,0.00,0.79
chty,10,1.72,0.00,0.90,0.00,0.58
chcphy,10,1.43,0.00,0.45,0.00,1.16
okody,10,0.29,27.43,0.00,1.59,0.58
qotam,10,0.29,4.57,0.00,0.00,2.33
shod,9,1.27,0.00,0.00,0.00,1.62
qokshy,9,1.59,0.00,0.00,0.00,1.29
okees,9,0.95,10.16,1.00,0.00,0.65
qotody,9,0.32,0.00,0.00,5.29,1.62
qokl,9,0.00,0.00,1.50,0.00,1.94
qokody,8,2.14,0.00,0.00,1.98,0.36
shos,7,2.04,0.00,0.00,2.27,0.42
shees,7,1.63,0.00,1.29,0.00,0.42
otody,7,0.41,13.06,0.00,2.27,1.25
shoky,6,1.91,0.00,1.50,0.00,0.00
okshy,6,1.91,0.00,0.75,0.00,0.49
okchd,6,0.95,0.00,0.75,0.00,1.46
shok,5,1.14,0.00,0.00,3.17,1.16
qotshy,5,2.29,0.00,0.90,0.00,0.00
qopy,5,2.29,0.00,0.90,0.00,0.00
oky<-><plant>,5,2.29,0.00,0.00,3.17,0.00
shes,5,1.14,0.00,2.70,0.00,0.00
qoko,5,1.72,0.00,0.00,0.00,1.16
oty<-><plant>,5,2.29,0.00,0.00,3.17,0.00
oksho,4,2.14,0.00,0.00,3.97,0.00
qoteeey,4,1.43,0.00,0.00,0.00,1.46
chyty,4,2.86,0.00,0.00,0.00,0.00
okos,4,2.14,0.00,0.00,3.97,0.00
chod,4,2.14,0.00,0.00,3.97,0.00
otshy,4,2.86,0.00,0.00,0.00,0.00
chep,4,0.71,0.00,1.13,0.00,1.46
qokdy,4,1.43,0.00,1.13,0.00,0.73
chdy<$>,4,0.71,0.00,1.13,0.00,1.46
okechdy,4,0.71,0.00,1.13,0.00,1.46
qoly,4,0.00,0.00,4.51,0.00,0.00
qotees,4,0.00,0.00,1.13,3.97,1.46
otechdy,4,0.00,0.00,1.13,0.00,2.18
chok,3,2.86,0.00,0.00,0.00,0.00
shty,3,0.95,0.00,1.50,0.00,0.97
chom<-><plant>,3,2.86,0.00,0.00,0.00,0.00
qotoiin,3,2.86,0.00,0.00,0.00,0.00
qokod,3,0.95,0.00,0.00,0.00,1.94
qoky<-><plant>,3,2.86,0.00,0.00,0.00,0.00
chcfhhy,3,2.86,0.00,0.00,0.00,0.00
chody<-><plant>,3,2.86,0.00,0.00,0.00,0.00
qoeees,3,0.95,0.00,0.00,0.00,1.94
chodchy,3,1.91,15.24,0.00,0.00,0.00
okeshy,3,0.95,0.00,3.00,0.00,0.00
otas,3,1.91,0.00,0.00,0.00,0.97
choky<-><plant>,3,2.86,0.00,0.00,0.00,0.00
chepy,3,0.95,0.00,1.50,0.00,0.97
choshy,3,1.91,0.00,0.00,5.29,0.00
otos,3,0.95,0.00,0.00,0.00,1.94
sher,3,1.91,0.00,0.00,0.00,0.97
qokshd,3,0.95,0.00,0.00,5.29,0.97
chsdy,3,0.00,15.24,3.00,0.00,0.00
shecphy,3,0.00,0.00,3.00,0.00,0.97
chcphey,3,0.00,0.00,3.00,0.00,0.97
qotshdy,3,0.00,0.00,1.50,0.00,1.94
otshdy,3,0.00,0.00,4.51,0.00,0.00
shoshy,2,2.86,0.00,0.00,0.00,0.00
cham<-><plant>,2,2.86,0.00,0.00,0.00,0.00
qotoy,2,1.43,0.00,0.00,0.00,1.46
chom<$><plant>,2,2.86,0.00,0.00,0.00,0.00
sheyr,2,1.43,0.00,2.25,0.00,0.00
qoty<-><plant>,2,2.86,0.00,0.00,0.00,0.00
qokoy,2,1.43,0.00,0.00,0.00,1.46
chokody,2,1.43,0.00,0.00,0.00,1.46
qotoeey,2,2.86,0.00,0.00,0.00,0.00
shody<$>,2,2.86,0.00,0.00,0.00,0.00
qoos,2,2.86,0.00,0.00,0.00,0.00
chcphhy,2,1.43,0.00,2.25,0.00,0.00
chofchy,2,2.86,0.00,0.00,0.00,0.00
chodey,2,2.86,0.00,0.00,0.00,0.00
qotod,2,2.86,0.00,0.00,0.00,0.00
shcphy,2,2.86,0.00,0.00,0.00,0.00
qodchy,2,2.86,0.00,0.00,0.00,0.00
shtshy,2,1.43,0.00,0.00,0.00,1.46
chop,2,1.43,22.86,0.00,0.00,0.00
shy<-><plant>,2,2.86,0.00,0.00,0.00,0.00
qocphy,2,2.86,0.00,0.00,0.00,0.00
chos<$>,2,1.43,0.00,0.00,0.00,1.46
cher,2,2.86,0.00,0.00,0.00,0.00
choko,2,1.43,0.00,0.00,7.93,0.00
cheef,2,1.43,0.00,2.25,0.00,0.00
chefchy,2,2.86,0.00,0.00,0.00,0.00
qoto,2,2.86,0.00,0.00,0.00,0.00
chls,2,1.43,0.00,0.00,7.93,0.00
ch?dy,2,2.86,0.00,0.00,0.00,0.00
okas,2,1.43,0.00,0.00,0.00,1.46
otees,2,1.43,0.00,0.00,0.00,1.46
chodr,2,1.43,0.00,0.00,0.00,1.46
qoty<$><plant>,2,1.43,0.00,0.00,7.93,0.00
otaky,2,1.43,22.86,0.00,0.00,0.00
cheer,2,1.43,0.00,0.00,0.00,1.46
shldy,2,0.00,22.86,2.25,0.00,0.00
cheesy,2,0.00,22.86,0.00,0.00,1.46
qotes,2,0.00,0.00,2.25,0.00,1.46
qodeey,2,0.00,0.00,2.25,0.00,1.46
qotas,2,0.00,0.00,4.51,0.00,0.00
qolshy,2,0.00,0.00,2.25,0.00,1.46
qoteesy,2,0.00,0.00,4.51,0.00,0.00
qotl,2,0.00,0.00,2.25,0.00,1.46
otes,2,0.00,0.00,2.25,0.00,1.46
otoky,2,0.00,0.00,0.00,15.86,0.00
qokshdy,2,0.00,0.00,0.00,0.00,2.91
okeeshy,2,0.00,0.00,0.00,0.00,2.91
qotechy,2,0.00,0.00,0.00,0.00,2.91
qofchdy,2,0.00,0.00,0.00,0.00,2.91
chtl,2,0.00,0.00,0.00,0.00,2.91
chcfhy,2,0.00,0.00,0.00,0.00,2.91
chll,2,0.00,0.00,0.00,0.00,2.91
